KMeans_Cluster,Income,Recency,TotalMnt,TotalPurchases,NumDealsPurchases,NumWebVisitsMonth,Jumlah_Pelanggan
0,37527.21,48.57,175.15,7.5,2.58,6.55,1289
1,71551.39,49.86,1190.69,19.37,1.97,3.64,950
